ShipperID;CompanyName;Phone
4;Speedy Express2;(503) 555-9932
5;United Package2;(503) 555-9933
6;Federal Shipping2;(503) 555-9934
7;Speedy Express3;(503) 555-9935
8;United Package3;(503) 555-9936
9;Federal Shipping3;(503) 555-9937
10;Speedy Express4;(503) 555-9938
11;United Package4;(503) 555-9939
12;Federal Shipping4;(503) 555-9940
13;Speedy Express5;(503) 555-9941
14;United Package5;(503) 555-9942
15;Federal Shipping5;(503) 555-9943
16;Speedy Express6;(503) 555-9944
17;United Package6;(503) 555-9945
18;Federal Shipping6;(503) 555-9946
19;Speedy Express3;(503) 555-9947
20;United Package3;(503) 555-9948
21;Federal Shipping3;(503) 555-9949
22;Speedy Express4;(503) 555-9950
23;United Package4;(503) 555-9951
24;Federal Shipping4;(503) 555-9952
25;Speedy Express5;(503) 555-9953
26;United Package5;(503) 555-9954
27;Federal Shipping5;(503) 555-9955
28;Speedy Express6;(503) 555-9956
29;United Package6;(503) 555-9957
30;Federal Shipping6;(503) 555-9958
31;Speedy Express7;(503) 555-9959
32;United Package7;(503) 555-9960
33;Federal Shipping7;(503) 555-9961
34;Speedy Express4;(503) 555-9962
35;United Package4;(503) 555-9963
36;Federal Shipping4;(503) 555-9964
